movieId,Directors,Budget,Gross worldwide,Runtime,Genres,Title
"1301","Fred M. Wilcox","1900000","0","98","Space Sci-Fi,Adventure,Sci-Fi","Запретная планета"
"1300","Lasse Hallström","0","8349284","101","Coming-of-Age,Dark Comedy,Period Drama,Raunchy Comedy,Satire,Comedy,Drama","Моя собачья жизнь"
"1299","Roland Joffé","14400000","34700291","141","Docudrama,Biography,Drama,History,War","Поля смерти"
"1298","Alan Parker","12000000","22274148","95","Psychological Drama,Drama,Fantasy,Music","Пинк Флойд: Стена"
"1297","Martha Coolidge","8000000","12952019","108","Teen Comedy,Comedy,Romance,Sci-Fi","Настоящие гении"
"1296","James Ivory","3000000","21062065","117","Period Drama,Drama,Romance","Комната с видом"
"1295","Philip Kaufman","17000000","10006806","171","Drama,Romance","Невыносимая лёгкость бытия"
"1293","Richard Attenborough","22000000","52768419","191","Docudrama,Epic,Period Drama,Biography,Drama,History","Ганди"
"1292","Hal Ashby","0","30179435","130","Satire,Comedy,Drama","Будучи там"
"1291","Steven Spielberg","48000000","474171806","127","Adventure Epic,Desert Adventure,Globetrotting Adventure,Quest,Action,Adventure","Индиана Джонс и последний крестовый поход"
"1290","Howard Deutch","0","18553948","95","Teen Drama,Teen Romance,Drama,Romance","Чудеса своего рода"
"1289","Godfrey Reggio","0","1728124","86","Faith & Spirituality Documentary,Nature Documentary,Documentary,Music","Кояанискатси"
"1288","Rob Reiner","2500000","4739391","82","Mockumentary,Parody,Satire,Comedy,Music","Это - Spinal Tap"
"1287","William Wyler","15000000","74439376","212","Adventure Epic,Epic,Period Drama,Sword & Sandal,Adventure,Drama","Бен-Гур"
"1286","Jeannot Szwarc","5100000","9709597","103","Period Drama,Tragedy,Drama,Fantasy,Romance","Где-то во времени"
"1285","Michael Lehmann","3000000","1167227","103","Dark Comedy,Satire,Serial Killer,Teen Drama,Comedy,Crime","Смертельное влечение"
"1284","Howard Hawks","250000","51050","114","Film Noir,Hard-boiled Detective,Crime,Drama,Mystery,Thriller","Глубокий сон"
"1283","Fred Zinnemann","730000","217","85","Classical Western,Drama,Thriller,Western","Ровно в полдень"
"1282","James Algar,Samuel Armstrong,Ford Beebe Jr.","2280000","76411978","124","Classic Musical,Concert,Hand-Drawn Animation,Animation,Family,Fantasy,Music,Musical","Фантазия"
"1281","Charles Chaplin","2000000","972212","125","Parody,Satire,Slapstick,Comedy,Drama,War","Великий диктатор"
"1280","Yimou Zhang","0","2603061","125","Dark Romance,Period Drama,Tragedy,Drama,Romance","Подними красный фонарь"
"1279","Jim Jarmusch","3500000","2113387","129","Dark Comedy,Quirky Comedy,Comedy,Drama","Ночь на Земле"
"1278","Mel Brooks","2800000","86276706","106","Farce,Parody,Slapstick,Comedy","Молодой Франкенштейн"
"1277","Jean-Paul Rappeneau","100000000","5822041","137","Costume Drama,Period Drama,Comedy,Drama,History,Romance","Сирано де Бержерак"
"1276","Stuart Rosenberg","3200000","1767","127","Prison Drama,Tragedy,Crime,Drama","Хладнокровный Люк"
"1275","Russell Mulcahy","16000000","5901480","116","Dark Fantasy,Fantasy Epic,One-Person Army Action,Supernatural Fantasy,Swashbuckler,Action,Adventure,Fantasy","Горец"
"1274","Katsuhiro Ôtomo","1100000000","3330836","124","Action Epic,Adult Animation,Anime,Cyberpunk,Dark Fantasy,Dystopian Sci-Fi,Epic,Fantasy Epic,Hand-Drawn Animation,Political Drama","Акира"
"1273","Jim Jarmusch","1100000","1529199","107","Quirky Comedy,Comedy,Crime,Drama","Вне закона"
"1272","Franklin J. Schaffner","12000000","61749765","172","Epic,War Epic,Biography,Drama,War","Паттон"
"1271","Jon Avnet","11000000","119418501","130","Period Drama,Drama","Жареные зеленые помидоры"
"1270","Robert Zemeckis","19000000","385053307","116","High-Concept Comedy,Teen Adventure,Teen Comedy,Time Travel,Urban Adventure,Adventure,Comedy,Sci-Fi","Назад в будущее"
"1269","Frank Capra","1164000","0","118","Farce,Screwball Comedy,Comedy,Crime,Thriller","Мышьяк и старые кружева"
"1268","Allan Moyle","0","11541758","102","Teen Comedy,Comedy,Drama,Music","Прибавьте громкость"
"1267","John Frankenheimer","2200000","2757256","126","Conspiracy Thriller,Political Thriller,Psychological Thriller,Spy,Tragedy,Drama,Thriller","Маньчжурский кандидат"
"1266","Clint Eastwood","14400000","159167799","130","Period Drama,Tragedy,Drama,Western","Непрощенный"
"1265","Harold Ramis","14600000","71108778","101","Feel-Good Romance,High-Concept Comedy,Holiday Comedy,Holiday Romance,Romantic Comedy,Comedy,Drama,Fantasy,Romance","День сурка"
"1264","Jean-Jacques Beineix","0","183425","117","Crime,Music,Thriller","Дива"
"1263","Michael Cimino","15000000","49080126","183","Epic,War Epic,Drama,War","Охотник на оленей"
"1262","John Sturges","4000000","230637","172","Period Drama,Prison Drama,War Epic,Adventure,Drama,Thriller,War","Большой побег"
"1261","Sam Raimi","3600000","5932279","84","Dark Comedy,Farce,Slapstick,Splatter Horror,Supernatural Horror,Zombie Horror,Comedy,Horror","Зловещие мертвецы 2"
"1260","Fritz Lang","0","35566","117","Psychological Thriller,Serial Killer,Suspense Mystery,Crime,Mystery,Thriller","М убийца"
"1259","Rob Reiner","8000000","53525035","89","Coming-of-Age,Dark Comedy,Quest,Adventure,Comedy,Drama","Останься со мной"
"1258","Stanley Kubrick","19000000","47962534","146","Dark Comedy,Psychological Drama,Psychological Horror,Supernatural Horror,Drama,Horror","Сияние"
"1257","Savage Steve Holland","0","10297601","97","Dark Comedy,Teen Comedy,Teen Drama,Comedy,Romance","Уж лучше умереть"
"1256","Leo McCarey","0","106318","69","Farce,Satire,Slapstick,Comedy,Musical","Duck Soup"
"1255","Peter Jackson","200000","0","91","B-Horror,Body Horror,Dark Comedy,Comedy,Horror,Sci-Fi","Плохой вкус"
"1254","John Huston","3000000","5014000","126","Tragedy,Adventure,Drama,Western","Сокровища Сьерра Мадре"
"1253","Robert Wise","1200000","651","92","Alien Invasion,Space Sci-Fi,Drama,Sci-Fi","День, когда остановилась Земля"
"1252","Roman Polanski","6000000","29231954","130","Conspiracy Thriller,Hard-boiled Detective,Psychological Drama,Psychological Thriller,Tragedy,Drama,Mystery,Thriller","Китайский квартал"
"1251","Federico Fellini","0","200502","138","Epic,Psychological Drama,Showbiz Drama,Drama","Восемь с половиной"
"1250","David Lean","3000000","27201366","161","Jungle Adventure,War Epic,Adventure,Drama,War","Мост через реку Квай"
"1249","Luc Besson","50000000","5018604","117","Spy,Action,Crime,Drama,Thriller","Её звали Никита"
"1248","Orson Welles","829000","2285063","95","Film Noir,Crime,Drama,Thriller","Печать зла"
"1247","Mike Nichols","3000000","105017024","106","Coming-of-Age,Romantic Comedy,Satire,Comedy,Drama,Romance","The Graduate"
"1246","Peter Weir","16400000","235860116","128","Coming-of-Age,Teen Drama,Comedy,Drama","Общество мёртвых поэтов"
"1245","Joel Coen,Ethan Coen","14000000","5080409","115","Gangster,Period Drama,Tragedy,Crime,Drama,Thriller","Перекресток Миллера"
"1244","Woody Allen","9000000","40194067","96","Feel-Good Romance,Romantic Comedy,Comedy,Drama,Romance","Манхэттен"
"1243","Tom Stoppard","0","739104","117","Comedy,Drama","Розенкранц и Гильденстерн мертвы"
"1242","Edward Zwick","18000000","26979166","122","Period Drama,War Epic,Biography,Drama,History,War","Доблесть"
"1241","Peter Jackson","3000000","242623","104","B-Horror,Body Horror,Dark Comedy,Dark Fantasy,Slapstick,Splatter Horror,Zombie Horror,Comedy,Fantasy,Horror","Живая мертвечина"
"1240","James Cameron","6400000","78371200","107","Artificial Intelligence,Cyberpunk,Dystopian Sci-Fi,Time Travel,Urban Adventure,Action,Adventure,Sci-Fi","Терминатор"
"1238","Bill Forsyth","3000000","5975220","111","Comedy,Drama","Местный герой"
"1237","Ingmar Bergman","150000","311212","96","Psychological Drama,Drama,Fantasy","Седьмая печать"
"1236","Hal Hartley","700000","357400","107","Comedy,Crime,Drama","Доверься"
"1235","Hal Ashby","1200000","4535","91","Coming-of-Age,Quirky Comedy,Romantic Comedy,Comedy,Drama,Romance","Гарольд и Мод"
"1234","George Roy Hill","5500000","156000000","129","Caper,Comedy,Crime,Drama","Афера"
"1233","Wolfgang Petersen","32000000","11488778","149","Epic,War Epic,Drama,War","Подводная лодка"
"1232","Andrei Tarkovsky","1000000","438245","162","Dystopian Sci-Fi,Drama,Sci-Fi","Сталкер"
"1231","Philip Kaufman","27000000","21192315","193","Epic,Historical Epic,Adventure,Biography,Drama,History","Парни что надо"
"1230","Woody Allen","4000000","38289445","93","Romantic Comedy,Comedy,Romance","Annie Hall"
"1228","Martin Scorsese","18000000","23405883","129","Boxing,Docudrama,Period Drama,Biography,Drama,Sport","Бешеный бык"
"1227","Sergio Leone","30000000","5476126","229","Dark Comedy,Epic,Gangster,Period Drama,Crime,Drama","Однажды в Америке"
"1226","John Ford","1750000","0","129","Comedy,Drama,Romance","Тихий человек"
"1225","Milos Forman","18000000","52111254","160","Costume Drama,Epic,Period Drama,Tragedy,Biography,Drama,Music","Амадей"
"1224","Kenneth Branagh","9000000","10161211","137","Epic,Historical Epic,Period Drama,Tragedy,War Epic,Biography,Drama,History,War","Генрих V: Битва при Азенкуре"
"1223","Nick Park","0","67836","23","Animal Adventure,Buddy Comedy,Farce,Quest,Quirky Comedy,Slapstick,Space Sci-Fi,Stop Motion Animation,Adventure,Animation","Уоллес и Громит: Великий выходной"
"1222","Stanley Kubrick","30000000","50193748","116","Dark Comedy,Period Drama,Drama,War","Цельнометаллическая оболочка"
"1221","Francis Ford Coppola","13000000","47964222","202","Epic,Gangster,Tragedy,Crime,Drama","Крёстный отец 2"
"1220","John Landis","27500000","115229890","133","Buddy Comedy,Jukebox Musical,Quest,Road Trip,Adventure,Comedy,Crime,Music,Musical","Братья Блюз"
"1219","Alfred Hitchcock","806947","32248065","109","Dark Comedy,Psychological Horror,Psychological Thriller,Slasher Horror,Suspense Mystery,Horror,Mystery,Thriller","Психо"
"1218","John Woo","0","2340425","111","Gun Fu,Tragedy,Action,Crime,Drama,Thriller","Наёмный убийца"
"1217","Akira Kurosawa","11500000","4172871","160","Epic,Samurai,Tragedy,War Epic,Action,Drama,War","Ран"
"1216","Luc Besson","80000000","3992246","168","Extreme Sport,Sea Adventure,Water Sport,Adventure,Drama,Sport","Голубая бездна"
"1215","Sam Raimi","11000000","11514639","81","Dark Comedy,Farce,Quest,Slapstick,Supernatural Horror,Zombie Horror,Comedy,Horror","Зловещие мертвецы 3: Армия тьмы"
"1214","Ridley Scott","11000000","108610231","117","Alien Invasion,Cyberpunk,Monster Horror,Space Sci-Fi,Horror,Sci-Fi","Чужой"
"1213","Martin Scorsese","25000000","47057986","145","Docudrama,Gangster,True Crime,Biography,Crime,Drama","Славные парни"
"1212","Carol Reed","0","1406393","104","Film Noir,Hard-boiled Detective,Whodunnit,Drama,Mystery,Thriller","Третий человек"
"1211","Wim Wenders","0","3518525","128","Drama,Fantasy,Romance","Небо над Берлином"
"1210","Richard Marquand","32500000","482466382","131","Action Epic,Adventure Epic,Dark Fantasy,Epic,Fantasy Epic,Globetrotting Adventure,Quest,Sci-Fi Epic,Space Sci-Fi,Sword & Sorcery","Звёздные войны. Эпизод 6: Возвращение джедая"
"1209","Sergio Leone","5000000","5435312","166","Desert Adventure,Epic,Spaghetti Western,Western Epic,Drama,Western","Однажды на Диком Западе"
"1208","Francis Ford Coppola","31500000","105086099","147","Adventure Epic,Epic,Hard-boiled Detective,Psychological Drama,Quest,Suspense Mystery,War Epic,Drama,Mystery,War","Апокалипсис сегодня"
"1207","Robert Mulligan","2000000","601391","129","Legal Drama,Period Drama,Crime,Drama","Убить пересмешника"
"1206","Stanley Kubrick","2200000","27034174","136","Dark Comedy,Dystopian Sci-Fi,Crime,Sci-Fi","Заводной апельсин"
"1204","David Lean","15000000","45764288","227","Adventure Epic,Desert Adventure,Epic,Tragedy,War Epic,Adventure,Biography,Drama,War","Лоуренс Аравийский"
"1203","Sidney Lumet","350000","2945","96","Legal Drama,Psychological Drama,Crime,Drama","12 рaзгневанных мужчин"
"1202","Bruce Robinson","1100000","1950623","107","Buddy Comedy,Dark Comedy,Comedy,Drama","Уитнэйл и Я"
"1201","Sergio Leone","1200000","25264999","161","Adventure Epic,Dark Comedy,Desert Adventure,Epic,Period Drama,Quest,Spaghetti Western,Western Epic,Adventure,Western","Хороший, плохой, злой"
"1200","James Cameron","18500000","131060248","137","Alien Invasion,Cyberpunk,Monster Horror,Space Sci-Fi,Survival,Tragedy,Action,Adventure,Horror,Sci-Fi","Чужой 2"
"1199","Terry Gilliam","15000000","9949953","132","Dark Comedy,Dystopian Sci-Fi,Sci-Fi Epic,Steampunk,Drama,Sci-Fi,Thriller","Бразилия"
"1198","Steven Spielberg","18000000","389925971","115","Adventure Epic,Desert Adventure,Globetrotting Adventure,Quest,Action,Adventure","Индиана Джонс: В поисках утраченного ковчега"
"1197","Rob Reiner","16000000","30978648","98","Adventure Epic,Fairy Tale,Fantasy Epic,Quest,Swashbuckler,Sword & Sorcery,Teen Fantasy,Adventure,Comedy,Family","Принцесса-невеста"
"1196","Irvin Kershner","18000000","550016086","124","Action Epic,Adventure Epic,Dark Fantasy,Epic,Fantasy Epic,Globetrotting Adventure,Quest,Sci-Fi Epic,Space Sci-Fi,Sword & Sorcery","Звёздные войны. Эпизод 5: Империя наносит ответный удар"
"1194","Lou Adler,Tommy Chong","2000000","44364244","86","Road Trip,Stoner Comedy,Comedy,Music","Укуренные"
"1193","Milos Forman","3000000","109115366","133","Medical Drama,Psychological Drama,Drama","Пролетая над гнездом кукушки"
"1192","Jennie Livingston","500000","3906006","78","Documentary","Париж горит"
"1191","Alek Keshishian","4500000","29012935","120","Concert,Music Documentary,Documentary,Music","Madonna: Truth or Dare"
"1190","Pedro Almodóvar","0","4089145","101","Dark Comedy,Comedy,Crime,Drama,Romance","Átame!"
"1189","Errol Morris","0","1209846","101","Crime Documentary,Crime,Documentary","The Thin Blue Line"
"1188","Baz Luhrmann","3000000","11759033","94","Parody,Comedy,Drama,Music,Romance","Танцы без правил"
"1187","John Sayles","3330000","4814619","135","Drama","Рыба страсти"
"1186","Steven Soderbergh","1200000","24742453","100","Dark Comedy,Drama","Секс, ложь и видео"
"1185","Jim Sheridan","600000","14743391","103","Biography,Drama","Моя левая нога"
"1184","Gabriele Salvatores","0","4532791","96","Comedy,Drama,War","Mediterraneo"
"1183","Anthony Minghella","27000000","231976425","162","Desert Adventure,Period Drama,Romantic Epic,Steamy Romance,Tragedy,Tragic Romance,Drama,Romance,War","Английский пациент"
"1180","Peter Chelsom","0","4313473","113","Comedy,Drama,Music","Услышь мою песню"
"1179","Stephen Frears","0","13446769","110","Tragedy,Crime,Drama,Thriller","The Grifters"
"1178","Stanley Kubrick","935000","8290","88","Epic,Psychological Drama,War Epic,Drama,War","Тропы славы"
