nutrient,measure,number
Fat,g,78
Saturated Fat,g,20
Cholesterol,mg,300
Carbohydrate,g,275
Sodium,mg,2300
Dietary Fiber,g,28
Protein,g,50
Added Sugars,g,50
Vitamin A,mcg RAE,900
Vitamin C,mg,90
Calcium,mg,1300
Iron,mg,18
Vitamin D,mcg,20
Vitamin E,mg,15
Vitamin K,mcg,120
Vitamin B1,mg,1.2
Vitamin B2,mg,1.3
Vitamin B3,mg NE,16
Vitamin B6,mg,1.7
Folate,mcg DFE,400
Vitamin B12,mcg,2.4
Biotin,mcg,30
Vitamin B5,mg,5
Phosphorus,mg,1250
Iodine,mcg,150
Magnesium,mg,420
Zinc,mg,11
Selenium,mcg,55
Copper,mg,0.9
Manganese,mg,2.3
Chromium,mcg,35
Molybdenum,mcg,45
Chloride,mg,2300
Potassium,mg,4700
Choline,mg,550
