         398394 function calls (396560 primitive calls) in 1.516 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      221    1.020    0.005    1.020    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.038    0.038    0.038    0.038 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     9979    0.036    0.000    0.036    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:343(raw_decode)
        1    0.027    0.027    0.027    0.027 {method 'connect' of '_socket.socket' objects}
       88    0.022    0.000    0.022    0.000 {built-in method io.open_code}
    36237    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
     1932    0.020    0.000    0.102    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:300(parse_starttag)
     9979    0.016    0.000    0.063    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:332(decode)
        2    0.014    0.007    0.166    0.083 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:133(goahead)
     9979    0.010    0.000    0.076    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/__init__.py:299(loads)
     9979    0.010    0.000    0.010    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/fake_useragent/fake.py:243(<lambda>)
        1    0.010    0.010    0.010    0.010 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     1932    0.008    0.000    0.011    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
        1    0.008    0.008    0.097    0.097 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/fake_useragent/utils.py:42(load)
    177/4    0.008    0.000    0.094    0.023 {built-in method builtins.exec}
     1933    0.008    0.000    0.023    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1618(__init__)
     1932    0.008    0.000    0.047    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:987(handle_starttag)
     1932    0.007    0.000    0.057    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
        1    0.006    0.006    0.006    0.006 {built-in method _scproxy._get_proxies}
        1    0.006    0.006    0.008    0.008 {built-in method _socket.getaddrinfo}
     5285    0.006    0.000    0.006    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:376(setup)
     3994    0.005    0.000    0.023    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:826(endData)
       88    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
