         343994 function calls (343841 primitive calls) in 10.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.003    5.003    5.003    5.003 {built-in method time.sleep}
      237    3.968    0.017    3.968    0.017 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.880    0.880    0.880    0.880 {method 'connect' of '_socket.socket' objects}
        1    0.329    0.329    0.329    0.329 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     9979    0.040    0.000    0.040    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:343(raw_decode)
    36143    0.022    0.000    0.022    0.000 {method 'match' of 're.Pattern' objects}
     1932    0.020    0.000    0.104    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:300(parse_starttag)
     9979    0.018    0.000    0.070    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:332(decode)
        2    0.014    0.007    0.168    0.084 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:133(goahead)
     9979    0.011    0.000    0.084    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/__init__.py:299(loads)
     9979    0.009    0.000    0.009    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/fake_useragent/fake.py:243(<lambda>)
        1    0.009    0.009    0.104    0.104 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/fake_useragent/utils.py:42(load)
        3    0.008    0.003    0.008    0.003 {built-in method _scproxy._get_proxy_settings}
     1932    0.008    0.000    0.047    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:987(handle_starttag)
     1933    0.008    0.000    0.022    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1618(__init__)
     1932    0.007    0.000    0.010    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     1932    0.007    0.000    0.057    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     5285    0.006    0.000    0.006    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:376(setup)
     1808    0.005    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:378(parse_endtag)
     3994    0.005    0.000    0.024    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:826(endData)
     7625    0.005    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/_markupbase.py:44(updatepos)
        1    0.005    0.005    0.005    0.005 {method 'splitlines' of 'str' objects}
     1931    0.004    0.000    0.009    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:950(_popToTag)
     1933    0.004    0.000    0.005    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:809(pushTag)
    15887    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
    30395    0.004    0.000    0.004    0.000 {method 'end' of 're.Match' objects}
       28    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     9753    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     1676    0.003    0.000    0.005    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:732(string_container)
     1676    0.003    0.000    0.008    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:867(object_was_parsed)
     1933    0.003    0.000    0.025    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:204(handle_endtag)
     5705    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1932    0.003    0.000    0.003    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:786(popTag)
    22693    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
