         431035 function calls (430888 primitive calls) in 1.386 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      302    0.936    0.003    0.936    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.040    0.040    0.040    0.040 {method 'do_handshake' of '_ssl._SSLSocket' objects}
     9979    0.035    0.000    0.035    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:343(raw_decode)
        1    0.028    0.028    0.028    0.028 {method 'connect' of '_socket.socket' objects}
     2752    0.028    0.000    0.149    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:300(parse_starttag)
    42771    0.026    0.000    0.026    0.000 {method 'match' of 're.Pattern' objects}
        2    0.020    0.010    0.241    0.121 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/html/parser.py:133(goahead)
     9979    0.015    0.000    0.060    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/decoder.py:332(decode)
     2752    0.012    0.000    0.016    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     2753    0.011    0.000    0.033    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1618(__init__)
     2752    0.011    0.000    0.071    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/__init__.py:987(handle_starttag)
     2752    0.010    0.000    0.084    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     9979    0.009    0.000    0.072    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/json/__init__.py:299(loads)
